symbol,close_price,percent_change,market_cap,impact
VIC,161.5,0.9375,1244524010376000.0,1.866786015564e+18
GAS,108.7,6.988188976377953,262287638477200.0,1.86224223318812e+18
VCB,65.5,1.7080745341614907,547296718657000.0,6.020263905227e+17
BID,48.35,3.091684434968017,339482848686950.0,4.922501305960775e+17
GVR,38.9,6.868131868131869,155600000000000.0,3.89e+17
PLX,55.6,6.923076923076923,71939621303600.0,2.5898263669296e+17
BVH,80.0,5.263157894736842,59385821120000.0,2.3754328448e+17
TCX,59.9,2.9209621993127146,138447350457900.0,2.3536049577843e+17
BSR,26.2,6.938775510204081,131191251773200.0,2.2302512801444e+17
GEE,179.5,1.69971671388102,65696992102000.0,1.97090976306e+17
HPG,27.4,2.0484171322160147,210307764427000.0,1.1566927043485e+17
VPB,28.8,1.76678445229682,228496999708800.0,1.142484998544e+17
TCB,35.8,0.9873060648801129,253687406821200.0,8.879059238742e+16
MSN,78.7,0.8974358974358974,113793546465900.0,7.965548252613e+16
VNM,70.0,0.7194244604316548,146296881150000.0,7.3148440575e+16
DGC,71.1,3.9473684210526314,27002307234600.0,7.290622953342e+16
GEL,38.1,5.980528511821975,33909000000000.0,7.290435e+16
STB,63.2,0.9584664536741214,119145633251200.0,7.148737995072e+16
VTP,106.9,4.803921568627452,13018607189800.0,6.379117523002e+16
VJC,169.8,0.3546099290780142,100455604513200.0,6.027336270792e+16
