symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
VIC,HOSE,156.4,125109.0,3498289649.0,-3498164540.0,-547112934056000.0
VHM,HOSE,106.8,128590.0,1720801615.0,-1720673025.0,-183767879070000.0
TCX,HOSE,61.6,55100.0,2082385260.0,-2082330160.0,-128271537856000.0
GAS,HOSE,113.9,446194.0,1126407392.0,-1125961198.0,-128246980452200.0
MSN,HOSE,80.7,106610.0,1168075426.0,-1167968816.0,-94255083451200.0
ACV,UPCOM,55.7,5308.0,1679406766.0,-1679401458.0,-93542661210600.0
VNM,HOSE,72.1,690300.0,1035492739.0,-1034802439.0,-74609255851900.0
VCK,HOSE,48.6,0.0,1477353775.0,-1477353775.0,-71799393465000.0
VPL,HOSE,81.0,15100.0,860692327.0,-860677227.0,-69714855387000.0
BSR,HOSE,29.45,3067355.0,2349885761.0,-2346818406.0,-69113802056700.0
MCH,HOSE,143.5,18620.0,451488961.0,-451470341.0,-64785993933500.0
HPG,HOSE,29.6,39514160.0,2082717542.0,-2043203382.0,-60478820107200.0
VPX,HOSE,31.3,0.0,1779054579.0,-1779054579.0,-55684408322700.0
SSI,HOSE,32.0,302003.0,1682395802.0,-1682093799.0,-53827001568000.0
VCB,HOSE,65.7,420000.0,770742706.0,-770322706.0,-50610201784200.0
BID,HOSE,49.2,125800.0,890945451.0,-890819651.0,-43828326829200.0
MSR,UPCOM,39.4,691.0,1098850395.0,-1098849704.0,-43294678337600.0
KSF,HNX,84.0,10000.0,449761553.0,-449751553.0,-37779130452000.0
VIX,HOSE,23.05,156940.0,1406918997.0,-1406762057.0,-32425865413850.0
GEE,HOSE,169.7,2919.0,180979730.0,-180976811.0,-30711764826700.0
